,rank,name,team,POS,G,GS,IP,E,PKO,PO,A,DP,FPCT,PB,SB,CS,CS%
30,30,오승택,롯데,3루수,24,14,125,0,0,14,24,4,1.000,0,0,0,-
31,32,김주현,롯데,좌익수,21,10,92 2/3,2,0,19,1,0,0.909,0,0,0,-
32,32,오승택,롯데,2루수,21,8,93 2/3,0,0,23,29,5,1.000,0,0,0,-
33,34,임재철,롯데,좌익수,19,10,88,0,0,15,3,1,1.000,0,0,0,-
34,34,정대현,롯데,투수,19,0,18 1/3,0,0,0,1,0,1.000,0,0,0,-
35,36,김대륙,롯데,2루수,18,0,23 2/3,0,0,6,11,4,1.000,0,0,0,-
36,37,손용석,롯데,1루수,16,9,77,0,0,74,3,11,1.000,0,0,0,-
37,37,심규범,롯데,투수,16,0,6 1/3,0,0,0,2,0,1.000,0,0,0,-
38,39,김원중,롯데,투수,15,0,20 1/3,0,0,1,1,0,1.000,0,0,0,-
39,40,이상화,롯데,투수,14,12,55,0,0,10,10,0,1.000,0,0,0,-
40,40,임재철,롯데,우익수,14,5,56,0,0,14,0,0,1.000,0,0,0,-
41,42,강동수,롯데,1루수,11,0,13 2/3,0,0,14,0,2,1.000,0,0,0,-
42,42,구승민,롯데,투수,11,3,29,0,0,5,1,1,1.000,0,0,0,-
43,42,오윤석,롯데,2루수,11,2,41,0,0,12,8,3,1.000,0,0,0,-
44,42,오윤석,롯데,1루수,11,3,36 1/3,0,0,34,2,3,1.000,0,0,0,-
45,46,정재훈,롯데,투수,10,0,6 1/3,0,0,0,1,0,1.000,0,0,0,-
46,47,배장호,롯데,투수,9,5,28 2/3,1,0,2,4,0,0.857,0,0,0,-
47,47,이인복,롯데,투수,9,1,20 1/3,0,0,1,6,0,1.000,0,0,0,-
48,49,손용석,롯데,3루수,8,2,29,1,0,4,4,0,0.889,0,0,0,-
49,50,오현근,롯데,우익수,7,5,41 2/3,0,0,9,0,0,1.000,0,0,0,-
50,51,백민기,롯데,우익수,6,2,23,0,0,5,0,0,1.000,0,0,0,-
51,51,손용석,롯데,2루수,6,5,39,0,0,9,21,5,1.000,0,0,0,-
52,51,최준석,롯데,1루수,6,5,35 2/3,0,0,29,1,4,1.000,0,0,0,-
53,54,이재곤,롯데,투수,5,5,13,0,0,1,1,1,1.000,0,0,0,-
54,55,김재유,롯데,우익수,4,0,4,0,0,1,0,0,1.000,0,0,0,-
55,56,김재유,롯데,중견수,3,2,12,0,0,4,0,0,1.000,0,0,0,-
56,56,김주현,롯데,우익수,3,2,17,0,0,5,0,0,1.000,0,0,0,-
57,56,오현근,롯데,중견수,3,2,17,0,0,5,0,0,1.000,0,0,0,-
58,56,이우민,롯데,좌익수,3,0,3,0,0,0,0,0,-,0,0,0,-
59,56,조현우,롯데,투수,3,0,4,0,0,0,1,0,1.000,0,0,0,-
60,56,허준혁,롯데,투수,3,0,1 2/3,0,0,0,0,0,-,0,0,0,-
61,62,강동수,롯데,유격수,2,1,7,1,0,2,4,0,0.857,0,0,0,-
62,62,강동수,롯데,2루수,2,1,11,0,0,2,2,1,1.000,0,0,0,-
63,62,김대륙,롯데,3루수,2,0,2,1,0,0,1,0,0.500,0,0,0,-
64,62,김대우,롯데,좌익수,2,2,10,0,0,0,0,0,-,0,0,0,-
65,62,김재유,롯데,좌익수,2,0,5,0,0,0,0,0,-,0,0,0,-
66,62,박진형,롯데,투수,2,0,1 1/3,0,0,0,0,0,-,0,0,0,-
67,62,오현근,롯데,좌익수,2,1,9 1/3,0,0,4,0,0,1.000,0,0,0,-
68,62,이여상,롯데,3루수,2,0,4,1,0,0,2,0,0.667,0,0,0,-
69,62,임재철,롯데,중견수,2,0,1 1/3,0,0,0,0,0,-,0,0,0,-
70,62,차재용,롯데,투수,2,0,1 1/3,0,0,0,0,0,-,0,0,0,-
71,62,황동채,롯데,우익수,2,0,5,0,0,2,0,0,1.000,0,0,0,-
72,73,강동수,롯데,3루수,1,0,2,0,0,0,0,0,-,0,0,0,-
73,73,김민하,롯데,우익수,1,0,1,0,0,1,0,0,1.000,0,0,0,-
74,73,김민하,롯데,1루수,1,0,3,0,0,3,0,2,1.000,0,0,0,-
75,73,박종윤,롯데,좌익수,1,0,1,0,0,0,0,0,-,0,0,0,-
76,73,박준서,롯데,2루수,1,1,9,0,0,1,4,1,1.000,0,0,0,-
77,73,오윤석,롯데,3루수,1,0,1,0,0,0,1,0,1.000,0,0,0,-
78,73,이경우,롯데,투수,1,0,1 2/3,0,0,0,0,0,-,0,0,0,-
79,73,이여상,롯데,2루수,1,0,1,0,0,0,1,0,1.000,0,0,0,-
80,73,이우민,롯데,우익수,1,0,1,0,0,0,0,0,-,0,0,0,-
81,73,조홍석,롯데,우익수,1,0,2,0,0,1,0,0,1.000,0,0,0,-
82,73,황진수,롯데,2루수,1,0,2 2/3,0,0,1,1,0,1.000,0,0,0,-
