,rank,name,team,POS,G,GS,IP,E,PKO,PO,A,DP,FPCT,PB,SB,CS,CS%
25,26,하준호,kt,좌익수,34,23,182,3,0,41,4,0,0.938,0,0,0,-
26,27,문상철,kt,3루수,32,12,95,1,0,6,22,3,0.966,0,0,0,-
27,28,옥스프링,kt,투수,31,31,185,2,4,10,32,1,0.955,0,0,0,-
28,29,정대현,kt,투수,30,26,118,1,1,2,19,0,0.955,0,0,0,-
29,30,김민혁,kt,우익수,29,22,164,0,0,31,0,0,1.000,0,0,0,-
30,31,엄상백,kt,투수,28,22,100,0,1,5,12,2,1.000,0,0,0,-
31,31,오정복,kt,우익수,28,23,186 2/3,2,0,37,0,0,0.949,0,0,0,-
32,31,이지찬,kt,3루수,28,7,109,4,0,9,24,2,0.892,0,0,0,-
33,34,박용근,kt,3루수,24,18,164,4,0,10,37,6,0.922,0,0,0,-
34,35,홍성무,kt,투수,23,0,28,0,0,1,2,0,1.000,0,0,0,-
35,36,김종민,kt,포수,22,6,83 2/3,1,0,69,3,0,0.986,0,11,1,8.3
36,37,김사율,kt,투수,21,0,25 2/3,0,0,1,4,0,1.000,0,0,0,-
37,38,정성곤,kt,투수,20,15,58,2,0,2,9,0,0.846,0,0,0,-
38,39,송민섭,kt,좌익수,19,7,85 2/3,0,0,13,2,0,1.000,0,0,0,-
39,40,김진곤,kt,우익수,18,7,74 1/3,0,0,16,0,0,1.000,0,0,0,-
40,41,김선민,kt,유격수,17,11,86 1/3,4,0,17,20,6,0.902,0,0,0,-
41,41,시스코,kt,투수,17,5,39,4,0,0,5,0,0.556,0,0,0,-
42,41,윤근영,kt,투수,17,7,32,1,0,3,8,0,0.917,0,0,0,-
43,41,윤요섭,kt,포수,17,5,72,1,0,60,4,0,0.985,1,6,1,14.3
44,45,김영환,kt,2루수,16,4,66,0,0,10,24,6,1.000,0,0,0,-
45,46,김민수,kt,투수,15,1,23 1/3,0,0,0,2,0,1.000,0,0,0,-
46,46,저마노,kt,투수,15,14,76 2/3,1,0,7,10,2,0.944,0,0,0,-
47,46,조중근,kt,1루수,15,5,64,1,0,56,3,5,0.983,0,0,0,-
48,46,주권,kt,투수,15,3,24 1/3,1,0,3,3,1,0.857,0,0,0,-
49,50,김기표,kt,투수,14,0,10 1/3,0,0,0,2,0,1.000,0,0,0,-
50,51,박기혁,kt,2루수,13,2,30,0,0,6,11,4,1.000,0,0,0,-
51,51,안상빈,kt,투수,13,0,16,0,0,0,2,0,1.000,0,0,0,-
52,53,배우열,kt,투수,12,0,16,0,1,1,1,0,1.000,0,0,0,-
53,53,어윈,kt,투수,12,12,56,2,1,2,11,2,0.867,0,0,0,-
54,55,김진곤,kt,중견수,11,1,28,0,0,7,0,0,1.000,0,0,0,-
55,56,김영환,kt,3루수,9,0,20,0,0,2,5,1,1.000,0,0,0,-
56,56,하준호,kt,중견수,9,5,57 2/3,2,0,12,2,0,0.875,0,0,0,-
57,58,박용근,kt,2루수,8,2,22 2/3,1,0,4,11,2,0.938,0,0,0,-
58,58,장성우,kt,1루수,8,6,48 1/3,1,0,49,4,2,0.981,0,0,0,-
59,58,장성호,kt,1루수,8,3,41,0,0,45,0,4,1.000,0,0,0,-
60,58,최대성,kt,투수,8,0,2 2/3,0,0,0,0,0,-,0,0,0,-
61,62,송민섭,kt,우익수,7,4,36,0,0,12,0,0,1.000,0,0,0,-
62,63,김사연,kt,중견수,6,2,21 1/3,1,0,5,0,0,0.833,0,0,0,-
63,63,문상철,kt,2루수,6,4,29,0,0,5,7,1,1.000,0,0,0,-
64,65,김선민,kt,2루수,5,0,9 1/3,0,0,0,2,0,1.000,0,0,0,-
65,65,신명철,kt,2루수,5,0,9,0,0,3,4,0,1.000,0,0,0,-
66,65,이창진,kt,2루수,5,1,17,0,0,3,4,2,1.000,0,0,0,-
67,68,박기혁,kt,3루수,4,0,10,0,0,2,1,1,1.000,0,0,0,-
68,68,송민섭,kt,중견수,4,0,4,0,0,0,0,0,-,0,0,0,-
69,68,이해창,kt,포수,4,0,6,0,0,5,0,0,1.000,0,1,0,0.0
70,71,김상현,kt,우익수,3,1,15,0,0,2,0,0,1.000,0,0,0,-
71,71,문상철,kt,1루수,3,0,6,0,0,6,0,1,1.000,0,0,0,-
72,71,박용근,kt,유격수,3,2,15,0,0,2,6,1,1.000,0,0,0,-
73,71,이지찬,kt,2루수,3,0,3 2/3,0,0,0,2,1,1.000,0,0,0,-
