,p_number,name,salary,entry_yr,team
314,62558.0,김준태,3000.0,13롯데,Lotte
315,65513.0,김대륙,3200.0,15롯데,Lotte
316,65515.0,강동수,2900.0,15롯데,Lotte
317,65506.0,김재유,2900.0,15롯데,Lotte
318,64021.0,박세웅,5600.0,14kt,Lotte
319,63512.0,박진형,2800.0,15롯데,Lotte
320,76540.0,배장호,4600.0,06롯데,Lotte
321,74167.0,심수창,25000.0,04LG,Lotte
322,63935.0,이성민,9500.0,13NC,Lotte
323,76435.0,이여상,3600.0,07삼성,Lotte
324,72551.0,이정민,6500.0,02롯데,Lotte
325,62655.0,홍성민,12000.0,12KIA,Lotte
326,78566.0,황진수,2800.0,08롯데,Lotte
327,63512.0,박진형,2800.0,15롯데,Lotte
328,65509.0,차재용,2800.0,15롯데,Lotte
329,71801.0,정대현,32000.0,01SK,Lotte
330,62655.0,홍성민,12000.0,12KIA,Lotte
331,70615.0,강영식,30000.0,00해태,Lotte
332,64047.0,조현우,2800.0,14kt,Lotte
333,63935.0,이성민,9500.0,13NC,Lotte
334,77591.0,송승준,40000.0,99보스턴,Lotte
335,72535.0,이명우,15000.0,02롯데,Lotte
336,62528.0,김원중,3600.0,12롯데,Lotte
337,64021.0,박세웅,5600.0,14kt,Lotte
338,72551.0,이정민,6500.0,02롯데,Lotte
339,74167.0,심수창,25000.0,04LG,Lotte
340,77566.0,이재곤,3800.0,07롯데,Lotte
341,73248.0,김승회,22000.0,03두산,Lotte
342,77563.0,이상화,5000.0,07롯데,Lotte
343,76540.0,배장호,4600.0,06롯데,Lotte
344,64594.0,심규범,2900.0,14롯데,Lotte
345,73241.0,정재훈,15000.0,03두산,Lotte
346,73226.0,김성배,18000.0,03두산,Lotte
347,64565.0,이인복,2900.0,14롯데,Lotte
348,63543.0,구승민,2900.0,14롯데,Lotte
349,61569.0,이경우,2800.0,11롯데,Lotte
350,74556.0,허준혁,3000.0,04롯데,Lotte
351,74358.0,조평호,3500.0,04현대,NC
352,62947.0,나성범,30000.0,12NC,NC
353,62907.0,박민우,19000.0,12NC,NC
354,77454.0,김종호,17500.0,07삼성,NC
355,94629.0,이호준,75000.0,94해태,NC
356,78813.0,모창민,12500.0,08SK,NC
357,64944.0,박광열,3000.0,14NC,NC
358,75441.0,조영훈,11000.0,05삼성,NC
359,73339.0,이종욱,50000.0,03현대,NC
360,73306.0,지석훈,14000.0,03현대,NC
361,62934.0,김성욱,5500.0,12NC,NC
362,78122.0,김태군,21000.0,08LG,NC
363,63913.0,최재원,5000.0,13NC,NC
364,73213.0,손시헌,40000.0,03두산,NC
365,74223.0,용덕한,8500.0,04두산,NC
366,63920.0,김준완,3000.0,13NC,NC
367,62917.0,강구성,2700.0,12NC,NC
368,62016.0,윤병호,2900.0,15NC,NC
369,62931.0,노진혁,4300.0,12NC,NC
370,64906.0,강민국,2700.0,14NC,NC
371,64907.0,강장산,3000.0,15NC,NC
372,78248.0,고창성,5000.0,08두산,NC
373,64984.0,김태진,3000.0,14NC,NC
374,62920.0,노성호,5500.0,12NC,NC
375,78366.0,민성기,3300.0,08우리,NC
376,62929.0,이민호,13500.0,12NC,NC
377,60304.0,이창섭,3000.0,10넥센,NC
378,61323.0,이태양,10000.0,11넥센,NC
379,63959.0,임정호,7700.0,13NC,NC
380,78352.0,임창민,17400.0,08우리,NC
381,62966.0,최금강,9200.0,13NC,NC
382,62908.0,황윤호,2700.0,12NC,NC
383,63991.0,박진우,3200.0,15NC,NC
384,61323.0,이태양,10000.0,11넥센,NC
385,62966.0,최금강,9200.0,13NC,NC
386,78248.0,고창성,5000.0,08두산,NC
387,63959.0,임정호,7700.0,13NC,NC
388,78352.0,임창민,17400.0,08우리,NC
389,60263.0,이재학,20000.0,10두산,NC
390,75867.0,김진성,15000.0,05SK,NC
391,78366.0,민성기,3300.0,08우리,NC
392,62929.0,이민호,13500.0,12NC,NC
393,64907.0,강장산,3000.0,15NC,NC
394,63914.0,손정욱,5600.0,13NC,NC
395,63950.0,장현식,2700.0,13NC,NC
396,62920.0,노성호,5500.0,12NC,NC
397,64995.0,배재환,2700.0,14NC,NC
398,70820.0,이승호,7000.0,00SK,NC
399,74339.0,유한준,60000.0,04현대,Nexen
400,65399.0,허정협,3000.0,15넥센,Nexen
401,61366.0,홍성갑,3200.0,14넥센,Nexen
402,73342.0,이택근,50000.0,03현대,Nexen
403,61353.0,고종욱,7700.0,11넥센,Nexen
404,77564.0,김민성,22000.0,07롯데,Nexen
405,78168.0,서건창,26000.0,08LG,Nexen
406,74215.0,윤석민,16000.0,04두산,Nexen
407,64300.0,김하성,16000.0,14넥센,Nexen
408,79130.0,강지광,2700.0,09LG,Nexen
409,63360.0,장시윤,3300.0,14넥센,Nexen
410,79365.0,박동원,14000.0,09히어로즈,Nexen
411,62332.0,김재현,4400.0,12넥센,Nexen
412,76368.0,유재신,6000.0,06현대,Nexen
413,65357.0,송성문,3000.0,15넥센,Nexen
414,79356.0,박헌도,8000.0,09히어로즈,Nexen
