,name,team,ERA,G,W,L,SV,HLD,WPCT,IP,H,HR,BB,HBP,SO,R,ER,WHIP,GS,Wgs,Wgr,GF,SVO,TS,GDP,GO,AO,GO/AO
14,남경호,두산,6.0,5,0,0,0,0,-,9,5,2,7,1,10,7,6,1.33,0,0,0,0,0,0,0,5,12,0.42
15,이재우,두산,6.26,37,0,2,0,9,0.000,46,44,9,28,5,47,33,32,1.57,1,0,0,7,7,0,2,30,54,0.56
16,진야곱,두산,7.01,47,5,9,0,4,0.357,102 2/3,120,12,68,3,108,88,80,1.83,14,3,2,6,3,0,9,98,76,1.29
17,김명성,두산,7.79,17,1,0,0,0,1.000,17 1/3,27,2,11,1,10,15,15,2.19,0,0,1,7,0,0,1,15,23,0.65
18,마야,두산,8.17,13,2,5,0,0,0.286,68 1/3,83,6,31,5,62,62,62,1.67,13,2,0,1,0,0,4,68,61,1.11
19,김수완,두산,8.8,9,0,0,0,0,-,15 1/3,22,4,9,3,13,15,15,2.02,2,0,0,3,0,0,1,15,15,1.00
20,조승수,두산,9.0,1,0,0,0,0,-,1,2,1,1,0,1,1,1,3.0,0,0,0,0,0,0,0,2,0,-
21,변진수,두산,10.8,1,1,0,0,0,1.000,1 2/3,1,0,3,1,1,2,2,2.4,0,0,1,0,0,0,1,2,1,2.00
22,박종기,두산,11.57,3,0,0,0,0,-,2 1/3,4,1,3,0,2,3,3,3.0,0,0,0,0,0,0,0,2,1,2.00
23,이원재,두산,12.66,12,1,0,0,0,1.000,10 2/3,21,2,12,1,5,15,15,3.09,0,0,1,3,0,0,1,10,14,0.71
24,장민익,두산,29.25,4,0,0,0,0,-,4,11,4,8,0,4,14,13,4.75,0,0,0,1,0,0,0,4,4,1.00
25,이용호,두산,81.0,2,0,0,0,0,-,1/3,2,0,2,0,0,3,3,12.0,0,0,0,0,0,0,0,1,0,-
26,구본범,한화,0.00,3,0,0,0,0,-,1,0,0,2,0,1,0,0,2.00,0,0,0,1,0,0,0,0,3,0.00
27,마일영,한화,0.00,2,0,0,0,0,-,1/3,0,0,1,1,0,1,0,3.00,0,0,0,0,0,0,0,3,0,-
28,임경완,한화,-,1,0,0,0,0,-,0,0,0,2,0,0,1,1,-,0,0,0,0,0,0,0,0,0,-
29,조영우,한화,0.00,1,0,0,0,0,-,1,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,3,0.00
30,최영환,한화,0.00,1,0,0,0,0,-,1 1/3,2,0,2,0,1,2,0,3.00,0,0,0,1,0,0,0,2,1,2.00
31,윤규진,한화,2.66,40,3,2,10,3,0.600,50 2/3,39,3,21,0,48,15,15,1.18,0,0,3,24,15,0,5,41,52,0.79
32,로저스,한화,2.97,10,6,2,0,0,0.750,75 2/3,62,2,20,4,60,26,25,1.08,10,6,0,4,0,0,8,102,48,2.13
33,박정진,한화,3.09,76,6,1,1,15,0.857,96,84,8,39,5,92,37,33,1.28,0,0,6,4,12,0,6,75,112,0.67
34,김용주,한화,3.38,2,1,0,0,0,1.000,8,4,0,6,0,3,3,3,1.25,2,1,0,0,0,0,1,11,7,1.57
35,임준섭,한화,3.72,22,1,0,0,2,1.000,19 1/3,26,1,13,0,18,12,8,2.02,0,0,1,2,1,0,2,19,17,1.12
36,김기현,한화,4.35,54,1,0,0,3,1.000,41 1/3,36,5,30,3,32,20,20,1.60,0,0,1,3,2,0,2,36,45,0.80
37,이동걸,한화,4.47,32,2,0,0,0,1.000,44 1/3,58,8,28,4,25,28,22,1.94,0,0,2,9,0,0,4,43,58,0.74
38,유먼,한화,4.52,17,4,6,0,0,0.400,91 2/3,96,9,38,4,56,52,46,1.46,17,4,0,0,0,0,9,95,101,0.94
39,탈보트,한화,4.72,30,10,11,0,0,0.476,156 1/3,153,11,85,13,120,93,82,1.52,30,10,0,1,0,0,15,208,105,1.98
40,정대훈,한화,4.75,51,1,1,0,2,0.500,36,44,4,14,5,12,21,19,1.61,0,0,1,11,3,0,8,48,38,1.26
41,박성호,한화,4.79,16,0,0,0,1,-,20 2/3,24,2,11,1,12,14,11,1.69,0,0,0,5,0,0,3,14,33,0.42
42,권혁,한화,4.98,78,9,13,17,6,0.409,112,124,15,53,5,88,68,62,1.58,0,0,9,43,31,2,4,95,139,0.68
43,안영명,한화,5.10,35,10,6,0,1,0.625,125 1/3,137,15,60,11,82,77,71,1.57,27,10,0,1,1,0,11,148,120,1.23
44,김민우,한화,5.14,36,1,3,0,0,0.250,70,67,5,38,10,50,41,40,1.50,8,1,0,12,0,0,10,70,72,0.97
45,송창식,한화,6.44,64,8,7,0,11,0.533,109,115,29,64,7,87,82,78,1.64,10,3,5,4,7,0,4,90,133,0.68
46,윤기호,한화,6.75,3,0,0,0,0,-,2 2/3,2,1,1,0,0,2,2,1.13,0,0,0,0,0,0,1,2,5,0.40
47,정광운,한화,6.75,2,0,0,0,0,-,1 1/3,2,0,1,0,1,1,1,2.25,0,0,0,1,0,0,0,0,3,0.00
48,송은범,한화,7.04,33,2,9,4,1,0.182,70 1/3,103,10,30,4,48,59,55,1.89,14,1,1,9,8,2,6,80,72,1.11
49,배영수,한화,7.04,32,4,11,0,1,0.267,101,124,21,39,14,56,93,79,1.61,21,4,0,0,2,0,7,118,114,1.04
50,김범수,한화,7.36,15,0,2,0,0,0.000,14 2/3,10,0,20,1,10,12,12,2.05,0,0,0,4,0,0,4,13,18,0.72
51,박한길,한화,8.56,10,0,0,0,0,-,13 2/3,17,0,12,2,9,13,13,2.12,0,0,0,4,0,0,1,21,10,2.10
52,허유강,한화,10.13,5,0,0,0,0,-,2 2/3,1,0,2,2,1,3,3,1.13,0,0,0,0,0,0,1,3,3,1.00
53,정재원,한화,11.25,3,0,0,0,0,-,4,5,2,3,0,4,5,5,2.00,0,0,0,1,0,0,1,3,4,0.75
54,장민재,한화,18.00,4,0,0,0,0,-,4,9,1,7,0,3,8,8,4.00,0,0,0,2,0,0,2,3,3,1.00
55,문재현,한화,54.00,2,0,0,0,0,-,1/3,1,0,3,0,0,2,2,12.00,0,0,0,0,0,0,0,0,1,0.00
56,김명찬,KIA,0.0,3,0,0,0,0,-,4,4,0,1,1,2,0,0,1.25,0,0,0,0,0,0,2,4,4,1.0
57,김준,KIA,2.08,6,0,0,0,0,-,4 1/3,6,0,2,0,1,2,1,1.85,0,0,0,3,0,0,2,7,4,1.75
58,양현종,KIA,2.44,32,15,6,0,1,0.714,184 1/3,150,18,78,7,157,52,50,1.24,31,15,0,1,1,0,20,159,186,0.85
59,최영필,KIA,2.86,59,5,2,0,10,0.714,63,57,8,8,2,51,23,20,1.03,0,0,5,17,15,0,4,49,76,0.64
60,윤석민,KIA,2.96,51,2,6,30,0,0.250,70,69,4,24,2,68,23,23,1.33,0,0,2,45,38,5,4,55,72,0.76
61,한기주,KIA,3.24,7,0,0,0,0,-,8 1/3,11,0,5,0,4,4,3,1.92,0,0,0,2,1,0,2,11,7,1.57
62,김진우,KIA,3.46,4,1,0,0,1,1.000,13,12,1,9,1,12,5,5,1.62,2,1,0,0,0,0,2,15,6,2.5
63,임준혁,KIA,4.1,27,9,6,0,2,0.600,118 2/3,125,11,43,8,73,58,54,1.42,21,8,1,1,0,0,9,106,149,0.71
64,에반,KIA,4.44,16,4,0,0,4,1.000,26 1/3,30,0,13,1,25,15,13,1.63,1,0,4,4,4,0,6,32,12,2.67
65,김광수,KIA,4.53,41,4,4,0,9,0.500,43 2/3,53,2,13,2,22,24,22,1.51,1,0,4,5,4,0,2,54,48,1.13
66,서재응,KIA,4.95,9,1,4,0,0,0.200,40,52,5,8,5,16,23,22,1.5,9,1,0,0,0,0,5,42,46,0.91
67,스틴슨,KIA,4.96,32,11,10,0,0,0.524,167,190,15,64,14,93,100,92,1.52,30,11,0,2,0,0,15,249,133,1.87
68,심동섭,KIA,5.02,69,3,1,1,21,0.750,57 1/3,47,7,43,3,71,35,32,1.57,0,0,3,5,25,0,4,39,52,0.75
69,김태영,KIA,5.19,27,0,2,0,4,0.000,26,36,3,8,4,30,16,15,1.69,0,0,0,5,4,0,3,18,21,0.86
70,한승혁,KIA,5.46,49,2,6,0,6,0.250,56,55,7,36,1,56,36,34,1.63,0,0,2,19,10,0,7,58,41,1.41
71,박정수,KIA,5.53,19,0,3,0,0,0.000,42 1/3,47,4,19,6,25,31,26,1.56,4,0,0,8,0,0,5,48,50,0.96
72,홍건희,KIA,6.04,38,2,5,1,0,0.286,82,84,18,57,4,86,63,55,1.72,7,0,2,6,1,0,3,52,95,0.55
73,박준표,KIA,6.26,37,2,2,0,3,0.500,46,54,4,11,5,33,32,32,1.41,2,0,2,7,6,0,6,60,37,1.62
74,임기준,KIA,6.62,17,1,3,0,0,0.250,34,39,4,27,12,26,32,25,1.94,6,1,0,0,0,0,2,34,32,1.06
75,험버,KIA,6.75,12,3,3,0,0,0.500,50 2/3,62,11,32,5,35,38,38,1.86,11,3,0,0,0,0,4,56,50,1.12
76,김병현,KIA,6.98,23,0,5,0,2,0.000,49,67,7,18,11,38,38,38,1.73,8,0,0,3,4,0,4,52,41,1.27
77,유창식,KIA,7.9,27,0,8,0,0,0.000,54 2/3,67,9,40,3,34,53,48,1.96,12,0,0,3,2,0,7,76,42,1.81
78,신창호,KIA,7.94,5,0,0,0,0,-,5 2/3,4,1,4,0,4,5,5,1.41,0,0,0,2,0,0,0,5,8,0.63
79,문경찬,KIA,9.76,8,1,3,0,0,0.250,27 2/3,44,7,10,1,15,32,30,1.95,4,1,0,3,0,0,5,23,39,0.59
80,이종석,KIA,15.75,2,0,0,0,0,-,4,10,2,2,0,3,8,7,3.0,0,0,0,1,0,0,0,5,4,1.25
81,조무근,kt,1.88,43,8,5,4,2,0.615,71 2/3,54,3,32,4,83,26,15,1.2,1,0,8,10,6,0,5,56,65,0.86
82,최원재,kt,3.82,36,2,1,0,3,0.667,33,43,2,12,3,24,16,14,1.67,0,0,2,3,4,0,6,34,30,1.13
83,홍성용,kt,3.86,42,0,4,0,10,0.000,39 2/3,39,3,13,6,31,19,17,1.31,0,0,0,2,6,0,2,33,49,0.67
84,장시환,kt,3.98,47,7,5,12,0,0.583,74 2/3,73,1,28,1,75,33,33,1.35,0,0,7,32,15,2,8,71,59,1.2
85,김재윤,kt,4.23,42,1,2,0,6,0.333,44 2/3,46,3,12,1,70,23,21,1.3,0,0,1,5,7,0,3,23,35,0.66
86,옥스프링,kt,4.48,31,12,10,0,0,0.545,185,200,23,66,10,142,104,92,1.44,31,12,0,3,0,0,18,201,173,1.16
87,홍성무,kt,4.82,23,0,1,0,0,0.000,28,31,5,9,1,22,15,15,1.43,0,0,0,12,0,0,4,35,22,1.59
88,저마노,kt,4.93,15,3,6,0,1,0.333,76 2/3,111,7,15,3,40,46,42,1.64,14,3,0,0,0,0,8,82,89,0.92
89,안상빈,kt,5.06,13,0,0,0,0,-,16,23,1,12,1,25,13,9,2.19,0,0,0,5,1,0,0,10,13,0.77
90,정대현,kt,5.19,30,5,11,0,0,0.313,118,138,19,62,4,82,80,68,1.69,26,5,0,0,0,0,13,117,127,0.92
91,배우열,kt,5.63,12,0,0,0,1,-,16,21,2,4,0,17,10,10,1.56,0,0,0,4,1,0,2,16,12,1.33
92,윤근영,kt,5.63,17,1,4,0,2,0.200,32,35,3,21,4,21,23,20,1.75,7,1,0,3,0,0,2,45,23,1.96
93,고영표,kt,5.68,46,3,4,0,0,0.429,57,68,2,19,16,57,41,36,1.53,0,0,3,6,1,0,7,69,34,2.03
94,김민수,kt,5.79,15,0,1,0,1,0.000,23 1/3,30,1,13,1,18,18,15,1.84,1,0,0,9,0,0,2,34,18,1.89
95,김기표,kt,6.1,14,0,0,0,0,-,10 1/3,11,2,2,1,6,7,7,1.26,0,0,0,3,0,0,1,7,15,0.47
96,시스코,kt,6.23,17,0,6,0,2,0.000,39,43,5,25,4,42,34,27,1.74,5,0,0,2,1,0,1,36,33,1.09
97,엄상백,kt,6.66,28,5,6,0,0,0.455,100,127,15,50,10,78,77,74,1.77,22,5,0,0,0,0,14,86,109,0.79
98,이창재,kt,6.82,38,0,1,0,3,0.000,33,38,8,12,2,32,30,25,1.52,0,0,0,7,5,0,1,27,37,0.73
99,심재민,kt,6.87,50,2,3,0,1,0.400,56 1/3,68,3,41,7,29,45,43,1.93,1,0,2,11,2,0,13,72,51,1.41
100,황덕균,kt,7.36,3,0,0,0,0,-,3 2/3,0,0,5,0,2,3,3,1.36,0,0,0,2,0,0,0,4,5,0.8
101,김사율,kt,8.06,21,0,0,0,0,-,25 2/3,40,4,11,2,24,28,23,1.99,0,0,0,7,1,0,3,17,29,0.59
102,주권,kt,8.51,15,0,2,0,0,0.000,24 1/3,43,6,9,2,13,26,23,2.14,3,0,0,6,0,0,2,34,21,1.62
103,정성곤,kt,8.53,20,2,6,0,0,0.250,58,81,12,51,1,41,58,55,2.28,15,2,0,0,0,0,3,66,57,1.16
104,어윈,kt,8.68,12,1,7,0,0,0.125,56,90,10,21,2,41,57,54,1.98,12,1,0,0,0,0,7,70,41,1.71
105,최대성,kt,13.5,8,0,0,0,0,-,2 2/3,4,1,7,0,0,4,4,4.13,0,0,0,3,1,0,0,5,3,1.67
106,이윤학,kt,24.0,2,0,0,0,0,-,3,9,2,2,0,4,8,8,3.67,0,0,0,1,0,0,0,2,2,1.0
107,김선규,LG,3.13,31,2,0,0,2,1.000,31 2/3,34,5,10,2,19,12,11,1.39,0,0,2,2,3,0,3,44,26,1.69
108,우규민,LG,3.42,25,11,9,0,0,0.550,152 2/3,163,13,17,12,119,64,58,1.18,25,11,0,1,0,0,23,177,123,1.44
109,윤지웅,LG,3.77,78,3,1,0,12,0.750,62,47,3,17,1,54,26,26,1.03,0,0,3,9,14,0,5,74,49,1.51
110,소사,LG,4.03,32,10,12,0,1,0.455,194 1/3,199,16,36,5,177,102,87,1.21,30,10,0,3,0,0,14,188,189,0.99
111,김지용,LG,4.13,24,1,1,0,0,0.500,32 2/3,30,4,12,1,28,15,15,1.29,0,0,1,12,0,0,4,30,35,0.86
112,이동현,LG,4.4,60,5,5,4,11,0.500,59 1/3,65,4,20,2,55,33,29,1.43,0,0,5,20,21,0,2,52,57,0.91
113,류제국,LG,4.78,24,4,9,0,0,0.308,130,134,16,55,14,88,72,69,1.45,23,4,0,0,0,0,14,181,92,1.97
114,신승현,LG,4.79,37,0,1,0,3,0.000,35 2/3,32,3,18,5,30,19,19,1.4,0,0,0,9,3,0,6,34,35,0.97
115,봉중근,LG,4.93,47,5,2,15,0,0.714,49 1/3,60,10,23,6,39,28,27,1.68,2,0,5,35,20,1,11,44,47,0.94
116,루카스,LG,4.93,33,10,11,0,1,0.476,171 2/3,175,11,108,14,151,103,94,1.65,30,10,0,0,1,0,24,209,120,1.74
117,임정우,LG,5.04,54,6,9,5,3,0.400,109,123,8,50,14,99,65,61,1.59,11,1,5,18,12,1,13,106,98,1.08
118,정찬헌,LG,5.52,32,3,6,1,5,0.333,44,49,3,14,5,32,27,27,1.43,0,0,3,8,5,0,2,41,43,0.95
119,유원상,LG,5.59,25,1,1,0,1,0.500,37,44,6,12,2,22,26,23,1.51,0,0,1,3,1,0,4,41,40,1.03
120,진해수,LG,5.72,39,2,2,0,4,0.500,28 1/3,29,2,16,5,20,19,18,1.59,0,0,2,5,5,0,2,35,20,1.75
121,김광삼,LG,5.74,4,0,1,0,0,0.000,15 2/3,16,2,9,1,11,13,10,1.6,4,0,0,0,0,0,1,21,13,1.62
122,이승현,LG,5.87,15,0,0,0,0,-,15 1/3,14,1,10,1,21,10,10,1.57,0,0,0,7,0,0,1,15,10,1.5
123,임지섭,LG,6.25,8,1,2,0,0,0.333,31 2/3,18,3,36,2,37,23,22,1.71,8,1,0,0,0,0,3,23,25,0.92
124,이준형,LG,6.35,4,0,2,0,0,0.000,5 2/3,7,1,9,1,5,7,4,2.82,2,0,0,2,0,0,0,5,8,0.63
125,장진용,LG,6.4,11,1,3,0,0,0.250,32 1/3,43,5,7,5,20,26,23,1.55,9,1,0,0,0,0,6,38,34,1.12
126,최동환,LG,8.27,17,0,0,0,0,-,20 2/3,32,7,6,2,21,19,19,1.84,0,0,0,6,1,0,0,17,22,0.77
127,박진형,롯데,0.0,2,0,0,0,0,-,1 1/3,2,0,0,0,1,0,0,1.5,0,0,0,2,0,0,0,1,2,0.5
128,차재용,롯데,0.0,2,0,0,0,0,-,1 1/3,0,0,1,0,0,2,0,0.75,0,0,0,1,0,0,0,2,3,0.67
129,정대현,롯데,2.95,19,2,1,3,3,0.667,18 1/3,16,3,7,2,17,6,6,1.25,0,0,2,10,7,0,1,15,20,0.75
130,린드블럼,롯데,3.56,32,13,11,0,0,0.542,210,196,28,52,12,180,86,83,1.18,32,13,0,2,0,0,15,220,191,1.15
131,레일리,롯데,3.91,31,11,9,0,0,0.550,179 1/3,182,20,57,15,134,93,78,1.33,30,11,0,1,0,0,18,231,140,1.65
132,홍성민,롯데,3.95,67,4,4,1,8,0.500,82,85,8,24,10,65,38,36,1.33,0,0,4,12,10,1,12,94,67,1.4
133,강영식,롯데,4.19,50,2,1,2,6,0.667,38 2/3,40,6,10,0,46,21,18,1.29,0,0,2,7,10,0,3,31,29,1.07
134,조현우,롯데,4.5,3,0,0,0,0,-,4,3,2,1,0,4,3,2,1.0,0,0,0,3,0,0,0,4,3,1.33
135,이성민,롯데,4.58,61,5,7,4,7,0.417,72 2/3,92,11,33,4,58,44,37,1.72,0,0,5,30,17,0,5,89,63,1.41
136,송승준,롯데,4.75,25,8,7,0,0,0.533,125,131,17,46,4,112,71,66,1.42,23,7,1,1,0,0,7,114,137,0.83
137,이명우,롯데,5.64,59,2,1,0,6,0.667,59,78,5,20,2,34,44,37,1.66,5,1,1,4,8,0,7,78,49,1.59
138,김원중,롯데,5.75,15,0,0,0,1,-,20 1/3,21,1,15,3,20,15,13,1.77,0,0,0,4,1,0,1,19,21,0.9
139,박세웅,롯데,5.76,31,2,11,0,0,0.154,114,129,16,54,12,82,81,73,1.61,21,2,0,3,0,0,9,141,97,1.45
140,이정민,롯데,5.84,34,1,4,1,5,0.200,44 2/3,59,4,31,2,36,34,29,2.01,0,0,1,14,5,1,6,51,30,1.7
141,심수창,롯데,6.01,39,4,6,5,3,0.400,73 1/3,99,9,29,3,76,56,49,1.75,6,0,4,16,8,0,11,69,62,1.11
142,이재곤,롯데,6.23,5,0,2,0,0,0.000,13,15,1,18,4,9,10,9,2.54,5,0,0,0,0,0,5,16,7,2.29
143,김승회,롯데,6.24,39,7,3,2,2,0.700,75,96,13,28,4,50,52,52,1.65,7,2,5,13,5,0,5,68,93,0.73
144,이상화,롯데,6.55,14,3,8,0,0,0.273,55,69,7,25,1,35,43,40,1.71,12,3,0,2,0,0,3,68,54,1.26
145,배장호,롯데,6.59,9,0,2,0,0,0.000,28 2/3,35,5,10,5,9,21,21,1.57,5,0,0,2,0,0,2,33,39,0.85
146,심규범,롯데,7.11,16,0,1,0,1,0.000,6 1/3,7,1,6,0,6,5,5,2.05,0,0,0,2,4,0,0,4,7,0.57
147,정재훈,롯데,7.11,10,0,0,0,0,-,6 1/3,16,1,6,0,5,8,5,3.47,0,0,0,3,2,0,0,5,8,0.63
148,김성배,롯데,7.71,45,2,3,1,5,0.400,39 2/3,51,2,19,2,33,34,34,1.76,0,0,2,9,10,0,1,36,45,0.8
149,이인복,롯데,10.18,9,0,0,0,0,-,20 1/3,36,4,8,2,9,25,23,2.16,1,0,0,5,0,0,1,27,22,1.23
150,구승민,롯데,10.24,11,0,2,0,0,0.000,29,46,9,9,2,20,33,33,1.9,3,0,0,3,0,0,2,29,32,0.91
151,이경우,롯데,10.8,1,0,0,0,0,-,1 2/3,2,1,1,0,0,2,2,1.8,0,0,0,1,0,0,0,2,3,0.67
152,허준혁,롯데,21.6,3,0,0,0,0,-,1 2/3,6,0,0,0,0,5,4,3.6,0,0,0,1,0,0,0,2,4,0.5
153,문수호,NC,-,2,0,0,0,0,-,0,1,0,1,0,0,1,1,-,0,0,0,0,1,0,0,0,0,-
154,스튜어트,NC,2.68,19,8,2,0,0,0.800,117 2/3,116,7,26,6,109,37,35,1.21,19,8,0,0,0,0,11,123,104,1.18
155,해커,NC,3.13,31,19,5,0,0,0.792,204,174,14,36,25,164,81,71,1.03,31,19,0,1,0,0,18,230,189,1.22
156,박진우,NC,3.14,11,1,1,0,0,0.500,14 1/3,19,1,2,1,8,5,5,1.47,0,0,1,7,0,0,3,18,13,1.38
157,이태양,NC,3.67,29,10,5,0,0,0.667,137 1/3,141,19,40,19,113,59,56,1.32,25,10,0,1,0,0,11,137,136,1.01
158,최금강,NC,3.71,78,6,5,1,14,0.545,89 2/3,77,11,37,11,61,40,37,1.27,0,0,6,10,18,0,9,107,85,1.26
159,고창성,NC,3.72,6,0,0,0,0,-,9 2/3,11,1,4,2,3,4,4,1.55,0,0,0,2,0,0,0,16,11,1.45
160,임정호,NC,3.75,80,1,2,0,14,0.333,48,31,2,27,5,54,21,20,1.21,0,0,1,3,23,0,3,45,34,1.32
161,임창민,NC,3.80,61,1,5,31,0,0.167,64,57,7,21,1,72,28,27,1.22,0,0,1,49,35,6,3,54,53,1.02
162,이재학,NC,4.10,29,10,8,0,1,0.556,125,115,17,58,9,116,58,57,1.38,23,8,2,0,1,0,11,121,120,1.01
163,김진성,NC,4.50,59,3,4,5,12,0.429,66,59,14,18,1,70,35,33,1.17,0,0,3,12,20,0,3,44,75,0.59
164,박명환,NC,4.85,11,1,1,0,0,0.500,26,36,6,5,3,15,14,14,1.58,4,1,0,4,0,0,4,30,29,1.03
165,손민한,NC,4.89,26,11,6,0,0,0.647,105,122,8,15,5,50,65,57,1.30,19,10,1,2,0,0,13,141,107,1.32
166,민성기,NC,4.91,21,1,0,0,0,1.000,25 2/3,28,2,23,4,21,17,14,1.99,0,0,1,10,0,0,5,32,20,1.60
167,이민호,NC,5.06,64,6,5,0,10,0.545,96,103,15,41,6,103,62,54,1.50,6,3,3,15,14,0,5,68,101,0.67
168,이혜천,NC,5.19,29,0,0,0,3,-,17 1/3,15,3,7,2,10,11,10,1.27,0,0,0,10,3,0,1,24,15,1.60
169,강장산,NC,5.61,20,0,0,0,0,-,25 2/3,27,3,15,3,9,17,16,1.64,0,0,0,9,0,0,2,30,36,0.83
170,찰리,NC,5.74,12,4,5,0,0,0.444,53 1/3,67,8,19,7,29,39,34,1.61,12,4,0,0,0,0,4,61,56,1.09
171,손정욱,NC,6.56,20,1,0,0,0,1.000,23 1/3,37,3,9,0,17,17,17,1.97,1,0,1,0,0,0,4,18,30,0.60
172,장현식,NC,9.00,2,0,0,0,0,-,2,3,0,2,0,3,2,2,2.50,0,0,0,2,0,0,0,1,2,0.50
173,노성호,NC,10.65,17,1,2,0,0,0.333,23 2/3,33,8,23,0,25,28,28,2.37,3,0,1,6,0,0,1,15,26,0.58
174,배재환,NC,18.00,1,0,0,0,0,-,1,1,0,3,0,2,2,2,4.00,0,0,0,0,0,0,0,0,1,0.00
175,이승호,NC,36.00,1,0,1,0,0,0.000,1,3,0,1,0,1,4,4,4.00,1,0,0,0,0,0,0,0,2,0.00
176,윤강민,NC,45.00,2,0,0,0,0,-,1,2,0,3,1,1,5,5,5.00,0,0,0,1,0,0,1,1,0,-
177,이대환,NC,54.00,1,0,0,0,0,-,1/3,2,0,0,1,0,2,2,6.00,0,0,0,0,0,0,0,1,0,-
178,김정인,넥센,0.0,1,0,0,0,0,-,1,0,0,0,0,0,0,0,0.0,0,0,0,1,0,0,0,1,2,0.5
179,양훈,넥센,1.41,16,2,1,0,0,0.667,38 1/3,33,1,14,0,15,9,6,1.23,3,1,1,6,1,0,6,39,51,0.76
180,조상우,넥센,3.09,70,8,5,5,19,0.615,93 1/3,65,4,41,6,89,36,32,1.14,0,0,8,12,22,0,9,79,96,0.82
181,밴헤켄,넥센,3.62,32,15,8,0,0,0.652,196 2/3,190,14,67,1,193,92,79,1.31,32,15,0,0,0,0,20,188,172,1.09
182,손승락,넥센,3.82,58,4,6,23,0,0.400,61 1/3,73,6,13,3,63,35,26,1.4,0,0,4,47,29,3,4,74,39,1.9
183,김영민,넥센,4.38,57,4,5,0,6,0.444,90 1/3,90,14,28,7,85,47,44,1.31,4,1,3,3,11,0,9,104,74,1.41
184,금민철,넥센,4.5,7,1,1,0,0,0.500,22,25,2,14,2,11,11,11,1.77,5,1,0,0,0,0,2,27,25,1.08
185,이정훈,넥센,4.5,2,0,0,0,0,-,2,3,0,0,0,0,2,1,1.5,0,0,0,1,0,0,0,3,3,1.0
186,피어밴드,넥센,4.67,30,13,11,0,0,0.542,177 1/3,202,23,61,12,137,101,92,1.48,30,13,0,0,0,0,16,205,146,1.4
187,한현희,넥센,4.82,45,11,4,0,10,0.733,123 1/3,126,14,41,13,122,70,66,1.35,17,8,3,3,11,0,3,116,115,1.01
188,김대우,넥센,4.94,47,6,3,1,4,0.667,71,81,8,31,6,63,44,39,1.58,1,0,6,11,6,1,7,63,72,0.88
189,마정길,넥센,5.06,35,0,0,0,0,-,37 1/3,36,4,17,6,33,22,21,1.42,0,0,0,12,2,0,5,29,45,0.64
190,송신영,넥센,5.35,18,7,4,0,0,0.636,69,77,12,22,2,46,42,41,1.43,16,7,0,0,1,0,7,78,71,1.1
191,문성현,넥센,6.28,34,0,5,0,1,0.000,91 2/3,114,10,39,5,58,75,64,1.67,13,0,0,12,1,0,4,119,89,1.34
192,김동준,넥센,6.44,22,1,1,0,0,0.500,50 1/3,56,7,30,3,32,41,36,1.71,5,0,1,5,0,0,2,51,62,0.82
